,code,desc,remark,window
77,00.82,"Revision Of Knee Replacement, Femoral Component",00.82 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
78,00.83,"Revision Of Knee Replacement, Patellar Component",00.83 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
79,00.84,"Revision Of Total Knee Replacement, Tibial Insert (Liner)",00.84 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
80,00.85,"Resurfacing Hip, Total, Acetabulum And Femoral Head",00.85 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
81,00.86,"Resurfacing Hip, Partial, Femoral Head",00.86 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
82,00.87,"Resurfacing Hip, Partial, Acetabulum",00.87 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
83,00.9,Other Procedures And Interventions,A child code below 00.9 with greater detail should be used.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
84,00.91,Transplant From Live Related Donor,00.91 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
85,00.92,Transplant From Live Non-Related Donor,00.92 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
86,00.93,Transplant From Cadaver,00.93 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
87,00.94,Intra-Operative Neurophysiologic Monitoring,00.94 is a specific code and is valid to identify a procedure.,"00-00 Procedures And Interventions , Not Elsewhere Classified"
0,01,"Incision And Excision Of Skull, Brain, And Cerebral Meninges",A child code below 01 with greater detail should be used.,01-05 Operations On The Nervous System
1,01.0,Cranial Puncture,A child code below 01.0 with greater detail should be used.,01-05 Operations On The Nervous System
2,01.01,Cisternal Puncture,01.01 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
3,01.02,Ventriculopuncture Through Previously Implanted Catheter,01.02 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
4,01.09,Other Cranial Puncture,01.09 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
5,01.1,"Diagnostic Procedures On Skull, Brain, And Cerebral Meninges",A child code below 01.1 with greater detail should be used.,01-05 Operations On The Nervous System
6,01.10,Intracranial Pressure Monitoring,01.10 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
7,01.11,Closed [Percutaneous] [Needle] Biopsy Of Cerebral Meninges,01.11 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
8,01.12,Open Biopsy Of Cerebral Meninges,01.12 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
9,01.13,Closed [Percutaneous] [Needle] Biopsy Of Brain,01.13 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
10,01.14,Open Biopsy Of Brain,01.14 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
11,01.15,Biopsy Of Skull,01.15 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
12,01.16,Intracranial Oxygen Monitoring,01.16 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
13,01.17,Brain Temperature Monitoring,01.17 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
14,01.18,Other Diagnostic Procedures On Brain And Cerebral Meninges,01.18 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
15,01.19,Other Diagnostic Procedures On Skull,01.19 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
16,01.2,Craniotomy And Craniectomy,A child code below 01.2 with greater detail should be used.,01-05 Operations On The Nervous System
17,01.20,Cranial Implantation Or Replacement Of Neurostimulator Pulse Generator,01.20 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
18,01.21,Incision And Drainage Of Cranial Sinus,01.21 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
19,01.22,Removal Of Intracranial Neurostimulator,01.22 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
20,01.23,Reopening Of Craniotomy Site,01.23 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
21,01.24,Other Craniotomy,01.24 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
22,01.25,Other Craniectomy,01.25 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
23,01.26,Insertion Of Catheter Into Cranial Cavity,01.26 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
24,01.27,Removal Of Catheter From Cranial Cavity,01.27 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
25,01.28,Placement Of Intracerebral Catheter(s) Via Burr Hole(s),01.28 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
26,01.29,Removal Of Cranial Neurostimulator Pulse Generator,01.29 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
27,01.3,Incision Of Brain And Cerebral Meninges,A child code below 01.3 with greater detail should be used.,01-05 Operations On The Nervous System
28,01.31,Incision Of Cerebral Meninges,01.31 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
29,01.32,Lobotomy And Tractotomy,01.32 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
30,01.39,Other Incision Of Brain,01.39 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
31,01.4,Operations On Thalamus And Globus Pallidus,A child code below 01.4 with greater detail should be used.,01-05 Operations On The Nervous System
32,01.41,Operations On Thalamus,01.41 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
33,01.42,Operations On Globus Pallidus,01.42 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
34,01.5,Other Excision Or Destruction Of Brain And Meninges,A child code below 01.5 with greater detail should be used.,01-05 Operations On The Nervous System
35,01.51,Excision Of Lesion Or Tissue Of Cerebral Meninges,01.51 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
36,01.52,Hemispherectomy,01.52 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
37,01.53,Lobectomy Of Brain,01.53 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
38,01.59,Other Excision Or Destruction Of Lesion Or Tissue Of Brain,01.59 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
39,01.6,Excision Of Lesion Of Skull,01.6 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
0,02,"Other Operations On Skull, Brain, And Cerebral Meninges",A child code below 02 with greater detail should be used.,01-05 Operations On The Nervous System
1,02.0,Cranioplasty,A child code below 02.0 with greater detail should be used.,01-05 Operations On The Nervous System
2,02.01,Opening Of Cranial Suture,02.01 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
3,02.02,Elevation Of Skull Fracture Fragments,02.02 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
4,02.03,Formation Of Cranial Bone Flap,02.03 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
5,02.04,Bone Graft To Skull,02.04 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
6,02.05,Insertion Of Skull Plate,02.05 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
7,02.06,Other Cranial Osteoplasty,02.06 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
8,02.07,Removal Of Skull Plate,02.07 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
9,02.1,Repair Of Cerebral Meninges,A child code below 02.1 with greater detail should be used.,01-05 Operations On The Nervous System
10,02.11,Simple Suture Of Dura Mater Of Brain,02.11 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
11,02.12,Other Repair Of Cerebral Meninges,02.12 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
12,02.13,Ligation Of Meningeal Vessel,02.13 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
13,02.14,Choroid Plexectomy,02.14 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
14,02.2,Ventriculostomy,A child code below 02.2 with greater detail should be used.,01-05 Operations On The Nervous System
15,02.21,Insertion Or Replacement Of External Ventricular Drain [Evd],02.21 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
16,02.22,Intracranial Ventricular Shunt Or Anastomosis,02.22 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
17,02.3,Extracranial Ventricular Shunt,A child code below 02.3 with greater detail should be used.,01-05 Operations On The Nervous System
18,02.31,Ventricular Shunt To Structure In Head And Neck,02.31 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
19,02.32,Ventricular Shunt To Circulatory System,02.32 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
20,02.33,Ventricular Shunt To Thoracic Cavity,02.33 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
21,02.34,Ventricular Shunt To Abdominal Cavity And Organs,02.34 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
22,02.35,Ventricular Shunt To Urinary System,02.35 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
23,02.39,Ventricular Shunt To Extracranial Site Nec,02.39 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
24,02.4,"Revision, Removal, And Irrigation Of Ventricular Shunt",A child code below 02.4 with greater detail should be used.,01-05 Operations On The Nervous System
25,02.41,Irrigation And Exploration Of Ventricular Shunt,02.41 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
26,02.42,Replacement Of Ventricular Shunt,02.42 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
27,02.43,Removal Of Ventricular Shunt,02.43 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
28,02.9,"Other Operations On Skull, Brain, And Cerebral Meninges",A child code below 02.9 with greater detail should be used.,01-05 Operations On The Nervous System
29,02.91,Lysis Of Cortical Adhesions,02.91 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
30,02.92,Repair Of Brain,02.92 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
31,02.93,Implantation Of Intracranial Neurostimulator,02.93 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
32,02.94,Insert/Replace Skull Tongs Or Halo Traction Device,02.94 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
33,02.95,Removal Of Skull Tongs Or Halo Traction Device,02.95 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
34,02.96,Insertion Of Sphenoidal Electrodes,02.96 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
35,02.99,Other,02.99 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
0,03,Operations On Spinal Cord And Spinal Canal Structures,A child code below 03 with greater detail should be used.,01-05 Operations On The Nervous System
1,03.0,Exploration And Decompression Of Spinal Canal Structures,A child code below 03.0 with greater detail should be used.,01-05 Operations On The Nervous System
2,03.01,Removal Of Foreign Body From Spinal Canal,03.01 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
3,03.02,Reopening Of Laminectomy Site,03.02 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
4,03.09,Other Exploration And Decompression Of Spinal Canal,03.09 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
5,03.1,Division Of Intraspinal Nerve Root,03.1 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
6,03.2,Chordotomy,A child code below 03.2 with greater detail should be used.,01-05 Operations On The Nervous System
7,03.21,Percutaneous Chordotomy,03.21 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
8,03.29,Other Chordotomy,03.29 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
9,03.3,Diagnostic Procedures On Spinal Cord And Spinal Canal Structures,A child code below 03.3 with greater detail should be used.,01-05 Operations On The Nervous System
10,03.31,Spinal Tap,03.31 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
11,03.32,Biopsy Of Spinal Cord Or Spinal Meninges,03.32 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
12,03.39,Other Diagnostic Procedures On Spinal Cord And Spinal Canal Structures,03.39 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
13,03.4,Excision Or Destruction Of Lesion Of Spinal Cord Or Spinal Meninges,03.4 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
14,03.5,Plastic Operations On Spinal Cord Structures,A child code below 03.5 with greater detail should be used.,01-05 Operations On The Nervous System
15,03.51,Repair Of Spinal Meningocele,03.51 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
16,03.52,Repair Of Spinal Myelomeningocele,03.52 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
17,03.53,Repair Of Vertebral Fracture,03.53 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
18,03.59,Other Repair And Plastic Operations On Spinal Cord Structures,03.59 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
19,03.6,Lysis Of Adhesions Of Spinal Cord And Nerve Roots,03.6 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
20,03.7,Shunt Of Spinal Theca,A child code below 03.7 with greater detail should be used.,01-05 Operations On The Nervous System
21,03.71,Spinal Subarachnoid-Peritoneal Shunt,03.71 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
22,03.72,Spinal Subarachnoid-Ureteral Shunt,03.72 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
23,03.79,Other Shunt Of Spinal Theca,03.79 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
24,03.8,Injection Of Destructive Agent Into Spinal Canal,03.8 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
25,03.9,Other Operations On Spinal Cord And Spinal Canal Structures,A child code below 03.9 with greater detail should be used.,01-05 Operations On The Nervous System
26,03.90,Insertion Of Catheter Into Spinal Canal For Infusion Of Therapeutic Or Palliative Substances,03.90 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
27,03.91,Injection Of Anesthetic Into Spinal Canal For Analgesia,03.91 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
28,03.92,Injection Of Other Agent Into Spinal Canal,03.92 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
29,03.93,Insert/Replace Spinal Neurostimulator,03.93 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
30,03.94,Removal Of Spinal Neurostimulator,03.94 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
31,03.95,Spinal Blood Patch,03.95 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
32,03.96,Percutaneous Denervation Of Facet,03.96 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
33,03.97,Revision Of Spinal Thecal Shunt,03.97 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
34,03.98,Removal Of Spinal Thecal Shunt,03.98 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
35,03.99,Other,03.99 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
0,04,Operations On Cranial And Peripheral Nerves,A child code below 04 with greater detail should be used.,01-05 Operations On The Nervous System
1,04.0,"Incision, Division, And Excision Of Cranial And Peripheral Nerves",A child code below 04.0 with greater detail should be used.,01-05 Operations On The Nervous System
2,04.01,Excision Of Acoustic Neuroma,04.01 is a specific code and is valid to identify a procedure.,01-05 Operations On The Nervous System
